id,name,code,image-large,image-normal,partner,gameid,game_category_id
19,Mahjong Ways,mahjong-ways,https://pgslot.cc/cardsnewlobby/portrait/pg/large/mahjong-ways.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/mahjong-ways.png,PG,65,1
21,Shaolin Soccer,shaolin-soccer,https://pgslot.cc/cardsnewlobby/portrait/pg/large/shaolin-soccer.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/shaolin-soccer.png,PG,67,1
43,Fortune Mouse,fortune-mouse,https://pgslot.cc/cardsnewlobby/portrait/pg/large/fortune-mouse.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/fortune-mouse.png,PG,68,1
54,Bikini Paradise,bikini-paradise,https://pgslot.cc/cardsnewlobby/portrait/pg/large/bikini-paradise.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/bikini-paradise.png,PG,69,"1,6"
45,Candy Burst,candy-burst,https://pgslot.cc/cardsnewlobby/portrait/pg/large/candy-burst.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/candy-burst.png,PG,70,1
14,Caishen Wins,cai-shen-wins,https://pgslot.cc/cardsnewlobby/portrait/pg/large/cai-shen-wins.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/cai-shen-wins.png,PG,71,"1,4,10"
17,Egypt's Book of Mystery,egypts-book-mystery,https://pgslot.cc/cardsnewlobby/portrait/pg/large/egypts-book-mystery.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/egypts-book-mystery.png,PG,73,"1,4,10"
56,Mahjong Ways 2,mahjong-ways2,https://pgslot.cc/cardsnewlobby/portrait/pg/large/mahjong-ways2.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/mahjong-ways2.png,PG,74,"1,6"
65,Ganesha Fortune,ganesha-fortune,https://pgslot.cc/cardsnewlobby/portrait/pg/large/ganesha-fortune.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/ganesha-fortune.png,PG,75,1
46,Dreams of Macau,dreams-of-macau,https://pgslot.cc/cardsnewlobby/portrait/pg/large/dreams-of-macau.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/dreams-of-macau.png,PG,79,"1,4,10"
64,Circus Delight,circus-delight,https://pgslot.cc/cardsnewlobby/portrait/pg/large/circus-delight.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/circus-delight.png,PG,80,1
41,Dim Sum Mania,dim-sum-mania,https://pgslot.cc/cardsnewlobby/portrait/pg/large/dim-sum-mania.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/dim-sum-mania.png,PG,81,1
59,Phoenix Rises,phoenix-rises,https://pgslot.cc/cardsnewlobby/portrait/pg/large/phoenix-rises.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/phoenix-rises.png,PG,82,1
27,Wild Fireworks,wild-fireworks,https://pgslot.cc/cardsnewlobby/portrait/pg/large/wild-fireworks.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/wild-fireworks.png,PG,83,1
48,Queen of Bounty,queen-bounty,https://pgslot.cc/cardsnewlobby/portrait/pg/large/queen-bounty.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/queen-bounty.png,PG,84,"1,6"
63,Genie's 3 Wishes,genies-wishes,https://pgslot.cc/cardsnewlobby/portrait/pg/large/genies-wishes.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/genies-wishes.png,PG,85,1
51,Galactic Gems,galactic-gems,https://pgslot.cc/cardsnewlobby/portrait/pg/large/galacticgems.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/galacticgems.png,PG,86,"1,2,6"
57,Treasures of Aztec,treasures-aztec,https://pgslot.cc/cardsnewlobby/portrait/pg/large/treasures-aztec.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/treasures-aztec.png,PG,87,"1,2,4,6,10"
60,Jewels of Prosperity,jewels-prosper,https://pgslot.cc/cardsnewlobby/portrait/pg/large/jewels-of-prosperity.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/jewels-of-prosperity.png,PG,88,"1,2"
53,Lucky Neko,lucky-neko,https://pgslot.cc/cardsnewlobby/portrait/pg/large/lucky-neko.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/lucky-neko.png,PG,89,"1,2,4,6,10"
66,Secret of Cleopatra,sct-cleopatra,https://pgslot.cc/cardsnewlobby/portrait/pg/large/sct-cleopatra-new.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/sct-cleopatra-new1.png,PG,90,"1,2,4,6,10"
50,Guardians of Ice and Fire,gdn-ice-fire,https://pgslot.cc/cardsnewlobby/portrait/pg/large/GuardiansofIce&Fire.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/GuardiansofIce&Fire.png,PG,91,1
47,Thai River Wonders,thai-river,https://pgslot.cc/cardsnewlobby/portrait/pg/large/thai-river.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/thai-river.png,PG,92,"1,2,4,6,10"
58,Opera Dynasty,opera-dynasty,https://pgslot.cc/cardsnewlobby/portrait/pg/large/OperaDynasty.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/OperaDynasty.png,PG,93,"1,2,4,6,10"
62,Bali Vacation,bali-vacation,https://pgslot.cc/cardsnewlobby/portrait/pg/large/bali-vacation.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/bali-vacation.png,PG,94,"1,2,4,6,10"
68,Majestic Treasures,majestic-ts,https://pgslot.cc/cardsnewlobby/portrait/pg/large/majestic-ts.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/majestic-ts.png,PG,95,"1,2"
52,Jackfrost's Winter,jack-frosts,https://pgslot.cc/cardsnewlobby/landscape/pg/large/jackfrostswinter.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/jackfrostswinter.png,PG,97,"1,2,4,6,10"
61,Fortune OX,fortune-ox,https://pgslot.cc/cardsnewlobby/portrait/pg/large/fortuneox.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/fortuneox.png,PG,98,"1,2"
69,Candy Bonanza,candy-bonanza,https://pgslot.cc/cardsnewlobby/portrait/pg/large/candy-bonanza.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/candy-bonanza.png,PG,100,"1,2"
67,Crypto Gold,crypto-gold,https://pgslot.cc/cardsnewlobby/portrait/pg/large/crypto-gold.png,https://pgslot.cc/cardsnewlobby/portrait/pg/normal/crypto-gold.png,PG,103,"1,2,6,10"
