id,name,code,image_large,image_normal,partner,gameid,game_category_id,active,date_time,game_type,lines,game_model,maximum_win,free_spin,min_bet,max_bet,demo_link
192,Golf Champions,S-GP02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/golf-champions.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/golf-champions.jpg,spadegaming,,,,,1,5,,x2000,Bonus game,5,"5,000",Demo link
193,Highway Fortune,S-HF01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/highway-fortune.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/highway-fortune.jpg,spadegaming,,,,,1,9,,x20000,-,9,"4,500",Demo link
194,Lucky Feng Shui,S-LF01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/lucky-feng-shui.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/lucky-feng-shui.jpg,spadegaming,,,,,1,15,,x100000,"Free game, Bonus game",3,"4,500",Demo link
195,Pirate King,S-PK01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/pirate-king.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/pirate-king.jpg,spadegaming,,,,,1,9,,x10000,-,9,"4,500",Demo link
196,Cai Yuan Guang Jin,S-CY01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/cai-yuan-guang-jin.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/cai-yuan-guang-jin.jpg,spadegaming,,,,,1,9,,x5000,-,9,"4,500",Demo link
197,Daddys Vacation,S-DV01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/daddys-vacation.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/daddys-vacation.jpg,spadegaming,,,,,1,8,,x4000,-,8,"4,800",Demo link
198,Festive Lion,S-BB01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/festive-lion.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/festive-lion.jpg,spadegaming,,,,,1,25,,x150000,Free game,5,"5,000",Demo link
199,Golden Whale,S-GW01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/golden-whale.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/golden-whale.jpg,spadegaming,,,,,1,25,,x150000,Free game,5,"5,000",Demo link
200,Lucky Cai Shen,S-LC01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/lucky-cai-shen.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/lucky-cai-shen.jpg,spadegaming,,,,,1,1,,x5000,-,2,"3,000",Demo link
201,Master Chef,S-CC01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/master-chef.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/master-chef.jpg,spadegaming,,,,,1,25,,x15000,Free game,5,"5,000",Demo link
202,Santa Gifts,S-SG02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/santa-gifts.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/santa-gifts.jpg,spadegaming,,,,,1,20,,x30000,"Free game, Bonus game",2,"5,000",Demo link
203,Spins Stone,S-SA02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/spins-stone.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/spins-stone.jpg,spadegaming,,,,,1,25,,N/A,Free game,5,"5,000",Demo link
