id,name,code,image_large,image_normal,partner,gameid,game_category_id,active,date_time,game_type,lines,game_model,maximum_win,free_spin,min_bet,max_bet,demo_link
116,Royal Fishing,royal-fishing,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_1_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/royal-fishing.png,jl,1,2,1,,2,,,,,,,Demo link
117,Happy Fishing,happy-fishing,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_82_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/happy-fishing.png,jl,82,,,,2,,,,,,,
118,Secret Treasure,secret-treasure,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_78_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/secret-treasure.png,jl,78,,,,1,,,,,,,
119,Roma X,romax,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_102_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/romax.png,jl,102,,,,1,,,,,,,
120,PharaohTreasure,pharaoh-treasure,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_85_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/pharaoh-treasure.png,jl,85,,,,1,,,,,,,
121,Golden Empire,golden-empire,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_103_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/golden-empire.png,jl,103,,,,1,,,,,,,
122,Boom Legend,boom-legend,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_71_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/boom-legend.png,jl,71,,,,2,,,,,,,
123,LuckyComing,lucky-coming,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_91_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/lucky-coming.png,jl,91,,,,1,,,,,,,
124,DiamondParty,diamond-party,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_44_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/diamond-party.png,jl,44,,,,1,,,,,,,
125,GoldenBank,golden-bank,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_45_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/golden-bank.png,jl,45,,,,1,,,,,,,
126,Hawaii Beauty,hawaii-beauty,https://play.moradok88.com/uploads/images/gamelist/jili/short/GAMEID_26_EN.png,https://play.moradok88.com/uploads/images/gamelist/jili/long/hawaii-beauty.png,jl,26,,,,1,,,,,,,
127,Fishing God,F-SF01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/fishing-god.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/fishing-god.jpg,spadegaming,,,,,2,N/A,,x100,Bonus game,0.1,200,Demo link
128,Fishing War,F-SF02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/fishing-war.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/fishing-war.jpg,spadegaming,,,,,2,N/A,,x888,Bonus game,0.1,200,Demo link
